//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=4543      
StartTime=2019/09/12 09:03:55
EndTime=2019/09/12 10:19:37
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],DO [mg/l],電池電圧 [V],
2019/09/12,09:03:55,-0.0430,27.652,0.039,0.073,68.657,996.362,-3.637,0.31,0.31,0.15,94.38,7.353,8.06,
2019/09/12,09:03:56,-0.0645,27.487,0.039,0.073,68.839,996.409,-3.591,0.19,0.19,0.01,94.36,7.352,8.16,
2019/09/12,09:03:57,-0.0860,27.399,0.039,0.073,69.022,996.433,-3.566,0.12,0.12,0.03,94.41,7.356,8.22,
2019/09/12,09:03:58,-0.0860,27.423,0.039,0.073,68.990,996.427,-3.573,0.64,0.64,0.51,94.42,7.357,8.26,
2019/09/12,09:03:59,-0.0645,27.472,0.039,0.073,68.885,996.413,-3.587,0.63,0.63,0.55,94.49,7.363,8.24,
2019/09/12,09:04:00,-0.0645,27.480,0.039,0.073,68.867,996.411,-3.589,0.69,0.69,7.53,94.56,7.369,8.25,
2019/09/12,09:04:01,-0.0645,27.478,0.039,0.073,68.859,996.411,-3.588,0.63,0.63,0.82,94.57,7.370,8.31,
2019/09/12,09:04:02,-0.0860,27.440,0.039,0.073,68.862,996.422,-3.578,0.62,0.62,0.42,94.58,7.372,8.30,
2019/09/12,09:04:03,-0.0645,27.392,0.039,0.073,68.930,996.435,-3.564,0.63,0.63,0.61,94.56,7.371,8.29,
2019/09/12,09:04:04,-0.0645,27.463,0.039,0.073,68.890,996.416,-3.584,0.63,0.63,0.31,94.55,7.370,8.31,
2019/09/12,09:04:05,-0.0860,27.414,0.039,0.073,69.002,996.429,-3.571,0.60,0.60,0.46,94.57,7.371,8.31,
2019/09/12,09:04:06,-0.0860,27.399,0.039,0.073,69.003,996.433,-3.566,0.62,0.62,0.56,94.59,7.372,8.29,
2019/09/12,09:04:07,-0.0645,27.360,0.039,0.073,69.092,996.444,-3.556,0.61,0.61,0.56,94.55,7.370,8.30,
2019/09/12,09:04:08,-0.0860,27.319,0.039,0.073,69.179,996.456,-3.544,0.61,0.61,0.51,94.51,7.366,8.29,
2019/09/12,09:04:09,-0.0645,27.263,0.039,0.073,69.270,996.471,-3.529,0.66,0.66,0.56,94.61,7.374,8.29,
2019/09/12,09:04:10,-0.0860,27.294,0.039,0.073,69.237,996.463,-3.537,0.35,0.35,-0.36,94.59,7.373,8.29,
2019/09/12,09:04:11,-0.0860,27.291,0.039,0.073,69.287,996.463,-3.536,0.66,0.66,0.44,94.46,7.363,8.31,
