//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0315
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=1000
SampleCnt=7135      
StartTime=2022/09/27 08:53:37
EndTime=2022/09/27 10:52:31
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/08/27
Ch1=-7.027595e-01,+2.161007e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.714067e+00,+1.062201e-03,-1.196327e-08,+2.638040e-13,-3.010376e-18,+2.176796e-23,+0.000000e+00,+0.000000e+00,
Ch4=+5.010445e-02,+3.809940e+01,+3.164015e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-4.734926e+00,+7.539691e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-8.423751e+00,+1.271962e-02,+6.610446e-08,+2.867850e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.240523e+01,+2.142968e+06,-5.590543e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,+0.000000e+00,+1.000000e+00,
Ch9=-5.569065e+00,+1.069652e-03,-1.276158e-08,+2.996936e-13,-3.733113e-18,+2.715745e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2022/09/27,08:53:37,-0.0645,27.172,0.037,0.069,65.848,996.495,-3.504,0.63,0.63,35.85,99.32,7.914,8.00,7.935,7.936,
2022/09/27,08:53:38,-0.0860,27.084,0.037,0.069,65.972,996.519,-3.480,0.61,0.61,35.88,99.38,7.925,8.08,7.947,7.947,
2022/09/27,08:53:39,-0.1075,26.891,0.037,0.069,66.216,996.572,-3.427,0.61,0.61,35.93,99.42,7.939,8.15,7.961,7.961,
2022/09/27,08:53:40,-0.1075,27.026,0.037,0.069,66.094,996.535,-3.464,0.61,0.61,35.92,99.48,7.938,8.18,7.960,7.961,
2022/09/27,08:53:41,-0.0860,27.072,0.037,0.069,65.963,996.523,-3.477,0.61,0.61,35.92,99.41,7.929,8.21,7.951,7.951,
2022/09/27,08:53:42,-0.0860,27.140,0.037,0.069,65.897,996.504,-3.496,0.60,0.60,35.92,99.40,7.927,8.21,7.949,7.949,
2022/09/27,08:53:43,-0.0860,27.202,0.037,0.069,65.804,996.487,-3.513,0.63,0.63,35.96,99.32,7.915,8.21,7.936,7.937,
2022/09/27,08:53:44,-0.0860,27.279,0.037,0.069,65.683,996.465,-3.534,0.60,0.60,35.94,99.23,7.899,8.20,7.921,7.921,
2022/09/27,08:53:45,-0.0860,27.333,0.037,0.069,65.635,996.450,-3.549,0.66,0.66,36.13,99.19,7.892,8.22,7.914,7.914,
2022/09/27,08:53:46,-0.0860,27.214,0.037,0.069,65.811,996.484,-3.516,0.67,0.67,36.15,99.34,7.907,8.22,7.929,7.929,
2022/09/27,08:53:47,-0.1075,27.297,0.037,0.069,65.676,996.460,-3.539,0.62,0.62,36.10,99.31,7.903,8.22,7.924,7.925,
2022/09/27,08:53:48,-0.1075,27.232,0.037,0.069,65.747,996.478,-3.521,0.65,0.65,36.23,99.36,7.910,8.22,7.932,7.932,
2022/09/27,08:53:49,-0.0860,27.230,0.037,0.069,65.701,996.479,-3.520,0.63,0.63,36.18,99.34,7.913,8.23,7.934,7.935,
2022/09/27,08:53:50,-0.0860,27.112,0.037,0.069,65.846,996.512,-3.488,0.20,0.20,0.12,99.38,7.922,8.22,7.943,7.944,
2022/09/27,08:53:51,-0.0860,27.123,0.037,0.069,65.778,996.509,-3.491,0.23,0.23,0.03,99.40,7.918,8.22,7.940,7.940,
2022/09/27,08:53:52,-0.1075,27.208,0.037,0.069,65.650,996.485,-3.514,0.20,0.20,0.00,99.39,7.914,8.21,7.935,7.936,
2022/09/27,08:53:53,-0.1075,27.218,0.037,0.069,65.634,996.482,-3.517,0.22,0.22,0.00,99.35,7.907,8.24,7.929,7.929,
2022/09/27,08:53:54,-0.1075,27.143,0.037,0.069,65.761,996.503,-3.496,0.20,0.20,0.00,99.26,7.902,8.24,7.924,7.924,
