Date,Time,Depth [m]d,Temp,Salinity,Cond [mS/cm],EC25 [µS/cm],Density [kg/m^3],sT [ ],Chl-Flu. [ppb],Chl-a [µg/l],??????? [FTU],DO [%],Weiss-DO [mg/l],???? [V],G&G-DO [mg/l],B&K-DO [mg/l]
2022/09/06,09:26:01,9.5669,25.219,33.767,51.629,51382.409,1022.385,22.343,1.95,1.95,2.06,83.99,5.671,8.2,5.686,5.687
2022/09/06,09:26:01,9.5454,25.23,33.753,51.623,51362.898,1022.371,22.329,1.66,1.66,2.28,84,5.673,8.2,5.689,5.69
2022/09/06,09:26:01,9.5024,25.247,33.752,51.638,51359.599,1022.365,22.324,1.64,1.64,2.19,83.96,5.672,8.2,5.688,5.689
2022/09/06,09:26:01,9.4594,25.254,33.753,51.647,51360.18,1022.363,22.322,1.76,1.76,2.22,83.92,5.669,8.2,5.685,5.686
2022/09/06,09:26:01,9.4379,25.258,33.76,51.661,51369.351,1022.367,22.326,2.27,2.27,2.13,83.95,5.67,8.2,5.686,5.687
2022/09/06,09:26:02,9.3949,25.261,33.765,51.671,51375.301,1022.37,22.329,2.59,2.59,2.17,83.91,5.667,8.2,5.683,5.684
2022/09/06,09:26:02,9.3734,25.273,33.757,51.671,51363.367,1022.36,22.32,2.19,2.19,2.01,83.95,5.669,8.2,5.685,5.686
2022/09/06,09:26:02,9.3304,25.282,33.75,51.67,51352.267,1022.352,22.311,2.46,2.46,2.05,83.91,5.665,8.2,5.681,5.682
2022/09/06,09:26:02,9.3089,25.288,33.74,51.663,51338.142,1022.342,22.302,2.31,2.31,2.23,84.01,5.672,8.2,5.687,5.688
2022/09/06,09:26:02,9.2874,25.294,33.734,51.662,51329.984,1022.336,22.296,2.01,2.01,2.45,83.98,5.669,8.2,5.685,5.686
2022/09/06,09:26:02,9.2874,25.307,33.73,51.67,51322.462,1022.329,22.288,2.44,2.44,2.35,84.1,5.677,8.2,5.692,5.693
2022/09/06,09:26:02,9.2444,25.317,33.734,51.685,51327.13,1022.329,22.289,1.97,1.97,2.53,84.05,5.673,8.2,5.688,5.689
2022/09/06,09:26:02,9.2229,25.323,33.745,51.705,51340.399,1022.335,22.295,1.95,1.95,2.19,84.12,5.677,8.19,5.693,5.694
2022/09/06,09:26:02,9.2014,25.329,33.753,51.723,51351.671,1022.34,22.3,1.87,1.87,2.24,84.16,5.679,8.22,5.695,5.696
2022/09/06,09:26:02,9.1799,25.335,33.755,51.733,51353.704,1022.339,22.299,1.82,1.82,2.06,84.21,5.682,8.19,5.697,5.698
2022/09/06,09:26:03,9.1584,25.339,33.758,51.739,51356.208,1022.339,22.3,1.81,1.81,1.96,84.1,5.673,8.19,5.688,5.689
2022/09/06,09:26:03,9.1369,25.341,33.759,51.743,51357.916,1022.34,22.3,1.72,1.72,2.1,84.11,5.672,8.2,5.688,5.689
2022/09/06,09:26:03,9.1154,25.344,33.756,51.743,51353.596,1022.337,22.297,1.91,1.91,1.96,84.18,5.675,8.2,5.69,5.691
2022/09/06,09:26:03,9.0724,25.357,33.747,51.742,51339.297,1022.325,22.286,2.04,2.04,2.06,84.22,5.677,8.22,5.692,5.693
2022/09/06,09:26:03,9.0509,25.37,33.744,51.751,51333.684,1022.319,22.28,2.01,2.01,2.19,84.17,5.671,8.19,5.687,5.688
2022/09/06,09:26:03,9.0294,25.386,33.749,51.775,51339.027,1022.318,22.279,1.97,1.97,2.27,84.17,5.669,8.22,5.685,5.686
2022/09/06,09:26:03,9.0079,25.4,33.749,51.789,51337.053,1022.313,22.274,2.07,2.07,2.24,84.25,5.674,8.19,5.69,5.69
2022/09/06,09:26:03,8.9649,25.421,33.744,51.805,51328.854,1022.303,22.265,2.62,2.62,2.06,84.34,5.679,8.19,5.695,5.695
2022/09/06,09:26:03,8.9649,25.438,33.739,51.814,51320.085,1022.295,22.256,2.78,2.78,2.1,84.37,5.679,8.18,5.695,5.696
2022/09/06,09:26:03,8.9219,25.446,33.746,51.831,51327.992,1022.297,22.258,2.71,2.71,2.1,84.42,5.681,8.2,5.697,5.698
2022/09/06,09:26:04,8.8789,25.456,33.741,51.835,51320.725,1022.29,22.252,2.65,2.65,2.08,84.43,5.68,8.2,5.696,5.697
